City_ID,city_names,latitude,longitude,Wind_Speed,Max_temp,Cloudiness,Humidity,Country,Date
0,inarajan village,9.1374,145.9036,8.72,300.76,84,80,no country info,1712119058.0
1,ilulissat,74.1697,-39.0607,4.82,250.86,100,99,no country info,1712119061.0
2,saint-pierre,-39.0607,40.5292,15.28,293.45,100,84,no country info,1712119063.0
3,el abiodh sidi cheikh,40.5292,-54.0917,10.08,281.53,100,68,no country info,1712119064.0
4,thompson,-54.0917,32.0748,3.81,275.51,99,80,no country info,1712119066.0
5,hamilton,32.0748,0.1853,1.31,288.69,85,28,DZ,1712119068.0
6,bethel,0.1853,58.8002,0.87,301.83,98,74,no country info,1712119069.0
7,yuzhno-kurilsk,58.8002,-98.7202,2.57,270.98,0,80,no country info,1712119071.0
8,forster,28.6464,-69.9788,7.02,295.81,99,67,no country info,1712119074.0
9,edinburgh of the seven seas,-69.9788,57.1002,5.85,225.8,44,97,no country info,1712119076.0
10,adamstown,57.1002,-167.3497,12.18,275.69,100,96,no country info,1712119077.0
11,lihue,44.1314,153.8038,11.81,274.26,7,81,no country info,1712119080.0
12,freetown,-36.1167,159.9287,6.93,293.83,37,74,no country info,1712119084.0
13,namtsy,-35.2305,-13.8235,7.78,291.77,100,83,no country info,1712119087.0
14,magadan,-13.8235,-31.3238,5.85,301.19,25,79,no country info,1712119089.0
15,port-aux-francais,-31.3238,-131.9151,12.3,292.78,100,92,no country info,1712119090.0
16,grytviken,17.4021,-170.5292,7.76,298.23,3,74,no country info,1712119094.0
17,philadelphia,1.197,-22.1317,3.44,300.53,100,81,no country info,1712119097.0
18,klyuchi,-22.1317,64.6412,7.28,299.03,71,83,no country info,1712119099.0
19,san patricio,64.6412,130.2608,3.68,261.96,63,81,RU,1712119100.0
20,utrik,57.6626,147.3041,4.9,271.07,0,69,no country info,1712119104.0
21,dalandzadgad,-33.3204,-134.2283,10.41,292.73,99,80,no country info,1712119107.0
22,albany,-77.2884,59.8861,7.53,223.43,99,87,no country info,1712119110.0
23,blackmans bay,59.8861,-48.5113,1.76,272.11,0,59,GL,1712119112.0
24,longyearbyen,-48.5113,-45.6856,12.61,285.42,12,75,no country info,1712119113.0
25,oranjemund,-45.6856,32.8058,7.3,281.96,100,85,no country info,1712119115.0
26,sur,32.8058,-88.8473,4.74,293.68,66,86,US,1712119117.0
27,tayshet,-88.8473,-65.9165,4.31,229.78,100,98,no country info,1712119118.0
28,rio grande,-65.9165,-20.5883,5.1,271.53,100,97,no country info,1712119120.0
29,kuraymah,-20.5883,43.0258,6.53,301.31,0,69,MG,1712119121.0
30,coquimbo,43.0258,177.9043,3.63,281.8,100,98,no country info,1712119123.0
31,carnarvon,8.3627,-112.3433,5.33,301.12,17,82,no country info,1712119126.0
32,chifeng,18.8526,175.7256,9.4,298.77,2,76,no country info,1712119129.0
33,kargasok,42.6795,103.6719,4.3,282.6,100,44,MN,1712119132.0
34,margaret river,-49.0646,111.458,15.37,281.91,100,88,no country info,1712119136.0
35,vorkuta,-64.9488,135.098,9.73,263.01,100,84,no country info,1712119139.0
36,bredasdorp,82.003,21.8592,3.8,251.25,99,94,no country info,1712119142.0
37,russkaya polyana,21.8592,-29.4935,4.85,294.76,40,71,no country info,1712119144.0
38,trinity beach,-29.4935,13.7271,11.39,292.27,45,88,no country info,1712119145.0
39,khovd,13.7271,21.5124,4.6,296.13,100,17,TD,1712119147.0
40,abraham's bay,21.5124,61.0069,3.53,299.56,100,77,no country info,1712119149.0
41,iqaluit,61.0069,56.4403,2.8,272.71,100,96,RU,1712119151.0
42,punta arenas,56.4403,98.51,1.67,277.25,100,77,RU,1712119152.0
43,soio,-89.8936,5.2286,3.99,228.94,100,98,no country info,1712119155.0
44,tiksi,5.2286,-52.1717,7.37,301.23,33,78,GF,1712119157.0
45,akureyri,-52.1717,-67.482,11.84,279.67,65,63,AR,1712119159.0
46,st. john's,-67.482,20.1144,8.99,270.14,89,80,no country info,1712119160.0
47,vadso,20.1144,32.9409,3.18,297.9,7,22,SD,1712119162.0
48,vorgashor,32.9409,-29.4921,8.75,291.98,48,81,no country info,1712119164.0
49,talnakh,-29.4921,-81.6772,7.8,293.36,84,82,no country info,1712119166.0
50,yellowknife,-81.6772,-19.9778,5.88,242.89,98,95,no country info,1712119167.0
51,enewetak,-19.9778,111.3592,4.35,302.26,0,75,no country info,1712119169.0
52,georgetown,-64.4657,-20.9648,13.19,272.77,100,92,no country info,1712119172.0
53,nova sintra,-20.9648,42.9313,7.27,301.28,0,67,MG,1712119174.0
54,rosetta,42.9313,118.4884,5.72,282.38,51,20,CN,1712119176.0
55,badger,62.417,82.1431,10.4,273.07,100,99,no country info,1712119179.0
56,merizo village,82.1431,-52.1067,1.67,256.45,100,97,no country info,1712119180.0
57,nova olimpia,-52.1067,100.9657,19.39,279.59,100,91,no country info,1712119182.0
58,kuanda,-80.9828,-7.4816,3.07,241.32,100,97,no country info,1712119185.0
59,waitangi,-7.4816,80.0754,5.93,301.36,47,80,no country info,1712119187.0
60,juneau,80.0754,68.5737,4.69,246.0,91,97,no country info,1712119188.0
61,suihua,68.5737,-88.3455,3.81,255.05,100,86,CA,1712119190.0
62,bilibino,-88.3455,15.8089,5.07,220.37,96,100,no country info,1712119192.0
63,kavaratti,15.8089,89.6567,4.39,300.89,1,79,no country info,1712119193.0
64,cooper's town,89.6567,17.5357,6.13,256.21,100,96,no country info,1712119195.0
65,remire-montjoly,17.5357,52.9222,4.01,301.97,88,22,YE,1712119196.0
66,udachny,52.9222,74.3693,4.82,277.63,81,65,KZ,1712119198.0
67,saipan,74.3693,-15.6443,2.68,259.43,100,94,no country info,1712119200.0
68,plesetsk,-15.6443,147.4592,9.16,301.05,100,76,no country info,1712119202.0
69,qaqortoq,-46.336,-120.2322,8.7,285.39,100,82,no country info,1712119206.0
70,puerto san carlos,45.4703,91.0043,4.79,279.28,0,39,CN,1712119209.0
71,tazovsky,24.0868,-71.7611,5.8,297.03,67,71,no country info,1712119213.0
72,bonthe,-71.7611,80.1927,9.28,243.22,100,96,no country info,1712119214.0
73,puerto ayora,80.1927,-74.29,2.85,252.25,98,92,no country info,1712119216.0
74,taltal,-74.29,-54.9556,2.8,244.31,100,96,no country info,1712119218.0
75,igarka,-54.9556,-71.2592,8.88,278.65,100,58,no country info,1712119219.0
76,gueltat zemmour,-71.2592,-7.5608,2.24,250.69,72,70,no country info,1712119221.0
77,iquique,-7.5608,7.4014,5.65,300.49,100,78,no country info,1712119222.0
78,wailua homesteads,7.4014,85.9481,1.94,302.66,43,70,no country info,1712119224.0
79,ribeira grande,85.9481,142.066,4.03,253.2,100,92,no country info,1712119226.0
80,quellon,63.3472,-16.8231,10.55,275.57,100,65,IS,1712119229.0
81,kikwit,-16.8231,45.8976,3.83,298.75,1,71,MG,1712119231.0
82,kourou,45.8976,-42.7522,9.03,280.44,100,85,no country info,1712119232.0
83,leava,-42.7522,-50.7464,12.85,289.35,100,78,no country info,1712119234.0
84,howard springs,-50.7464,122.9954,12.6,280.87,100,97,no country info,1712119236.0
85,olonkinbyen,75.3845,31.1992,7.35,260.18,100,83,no country info,1712119239.0
86,richmond,31.1992,88.1568,12.8,277.28,93,19,CN,1712119241.0
87,port alfred,88.1568,61.9083,5.18,251.75,100,95,no country info,1712119243.0
88,amga,61.9083,86.3887,5.75,273.89,100,96,RU,1712119244.0
89,sainte-menehould,86.3887,100.7037,4.23,249.92,100,95,no country info,1712119246.0
90,masterton,65.7506,-115.0037,2.16,252.42,27,100,no country info,1712119249.0
91,hermanus,10.3837,160.2775,10.22,300.3,91,82,no country info,1712119252.0
92,nueva gerona,85.4494,126.9698,3.6,252.36,100,85,no country info,1712119256.0
93,isafjordur,-18.273,-21.7642,5.89,299.56,4,75,no country info,1712119259.0
94,ushuaia,-21.7642,13.4327,3.28,289.61,0,91,,1712119260.0
95,syktyvkar,13.4327,-36.008,7.36,296.89,85,74,no country info,1712119262.0
96,saudarkrokur,-36.008,59.0633,3.25,290.13,19,73,no country info,1712119264.0
97,new norfolk,59.0633,-174.7594,15.71,275.7,100,80,no country info,1712119265.0
98,port saint john's,74.9548,30.5107,7.41,262.42,100,76,no country info,1712119269.0
99,tarko-sale,30.5107,32.6205,2.98,291.64,0,66,EG,1712119270.0
100,college,32.6205,29.737,3.0,292.5,4,74,EG,1712119272.0
101,lubumbashi,29.737,72.4714,3.45,305.93,98,12,PK,1712119274.0
102,nikel,72.4714,-143.7114,4.21,250.11,32,98,no country info,1712119275.0
103,cole harbour,12.6381,143.9493,9.11,300.4,100,84,GU,1712119278.0
104,fale old settlement,-13.7825,-57.7844,0.31,296.22,97,93,no country info,1712119282.0
105,'ain benian,-57.7844,57.3266,12.81,274.14,73,85,no country info,1712119283.0
106,waingapu,57.3266,118.3783,1.15,258.8,73,60,RU,1712119285.0
107,extrema,-82.1812,-168.4689,4.17,244.43,80,99,no country info,1712119288.0
108,roma,59.6965,-133.1137,0.73,263.76,100,90,CA,1712119291.0
109,port elizabeth,46.5596,127.1983,3.35,280.8,33,39,CN,1712119295.0
110,la ronge,78.3022,170.2266,4.22,247.03,25,96,no country info,1712119298.0
111,palikir - national government center,9.2209,68.1882,2.96,301.28,21,72,no country info,1712119301.0
112,tranovaho,68.1882,83.7445,8.49,271.14,100,97,RU,1712119303.0
113,san bartolo,83.7445,-164.2257,4.06,246.54,64,100,no country info,1712119304.0
114,gadzhiyevo,-42.0206,-114.42,1.35,285.72,92,74,no country info,1712119307.0
115,devinuwara,27.6786,-78.1348,7.91,296.52,27,84,BS,1712119311.0
116,papatowai,-78.1348,79.1828,10.37,220.51,77,90,no country info,1712119312.0
117,as sulayyil,79.1828,-171.1871,1.9,245.36,42,96,no country info,1712119314.0
118,sinan,67.4761,92.079,3.39,265.11,100,94,no country info,1712119317.0
119,laascaanood,13.9702,-41.6454,6.56,297.51,56,74,no country info,1712119320.0
120,yamazakicho-nakabirose,-41.6454,82.9302,8.36,286.99,83,88,no country info,1712119322.0
121,alice springs,82.9302,114.519,2.93,250.67,100,92,no country info,1712119324.0
122,correntina,27.9447,156.4779,6.37,292.1,99,68,no country info,1712119327.0
123,okhotsk,63.3649,39.3834,6.65,265.13,100,90,RU,1712119330.0
124,hayma',39.3834,56.6561,7.6,291.23,3,24,TM,1712119332.0
125,fisterra,56.6561,-39.68,13.52,277.31,100,97,no country info,1712119333.0
126,el daein,-39.68,76.8205,7.48,288.76,99,86,no country info,1712119335.0
127,cam ranh,76.8205,13.1283,6.28,263.43,100,91,no country info,1712119337.0
128,moju,13.1283,20.0842,4.01,299.77,90,14,TD,1712119338.0
129,acapulco de juarez,20.0842,-120.0072,7.82,293.58,28,66,no country info,1712119340.0
130,hovd,-68.2452,-142.0974,6.79,271.76,99,94,no country info,1712119343.0
131,sitka,72.5754,88.6673,6.87,253.04,100,98,no country info,1712119347.0
132,invercargill,88.6673,83.7974,4.79,252.39,100,96,no country info,1712119348.0
133,puerto natales,83.7974,77.0614,2.57,243.56,91,99,no country info,1712119350.0
134,tera,77.0614,5.3644,5.54,269.64,97,61,no country info,1712119351.0
135,anadyr,5.3644,-16.1703,5.24,300.66,100,80,no country info,1712119353.0
136,cill airne,-16.1703,-61.5116,1.77,294.81,95,97,BO,1712119355.0
137,jamestown,-61.5116,58.8771,11.89,272.86,100,87,no country info,1712119356.0
138,caconda,58.8771,-32.8779,11.88,279.88,95,88,no country info,1712119358.0
139,at taj,-32.8779,76.9987,8.06,292.1,57,66,no country info,1712119359.0
140,klaksvik,76.9987,-63.2122,7.63,259.68,100,94,GL,1712119361.0
141,kingscliff,-63.2122,59.1358,9.08,272.33,100,86,no country info,1712119362.0
142,taiohae,59.1358,78.6711,5.77,275.79,100,90,RU,1712119364.0
143,keflavik,78.6711,88.5863,2.83,246.94,55,97,no country info,1712119365.0
144,kaifeng,88.5863,12.9607,5.94,256.89,100,94,no country info,1712119367.0
145,chilliwack,12.9607,66.027,3.02,300.07,5,68,no country info,1712119368.0
146,ola,66.027,-6.0592,5.92,273.47,100,58,no country info,1712119370.0
147,'ibri,-6.0592,-105.0385,7.22,300.37,14,82,no country info,1712119371.0
148,tomatlan,-24.7423,-81.2942,5.88,293.22,100,77,no country info,1712119374.0
149,nuuk,-81.2942,63.1683,5.76,215.07,80,100,no country info,1712119376.0
150,ancud,63.1683,87.7775,6.54,274.16,100,91,RU,1712119377.0
151,stanley,87.7775,25.1095,4.08,254.07,100,97,no country info,1712119379.0
152,happy valley-goose bay,25.1095,-13.7939,7.12,287.58,1,73,no country info,1712119381.0
153,cabo san lucas,-13.7939,-19.4193,6.37,300.01,70,67,no country info,1712119382.0
154,'ohonua,-19.4193,-69.5295,0.46,287.5,6,56,CL,1712119384.0
155,tete,-69.5295,25.0244,3.73,260.52,99,67,no country info,1712119385.0
156,sinabang,25.0244,-166.1179,8.65,294.47,94,82,no country info,1712119387.0
157,marsh harbour,27.8647,-38.8258,6.1,293.57,100,66,no country info,1712119390.0
158,nchelenge,-38.8258,-44.148,8.63,289.92,51,70,no country info,1712119392.0
159,bamboo flat,-44.148,-72.9298,2.61,277.84,100,99,CL,1712119393.0
160,cestos city,-72.9298,-35.0566,3.16,248.47,58,100,no country info,1712119395.0
161,san antonio de pale,-35.0566,-130.7099,16.41,290.96,100,90,no country info,1712119396.0
162,prineville,-5.1046,18.773,0.45,295.56,100,90,CD,1712119400.0
163,witu,18.773,10.8499,3.75,297.58,27,8,NE,1712119401.0
164,avarua,10.8499,-49.737,7.32,300.18,73,74,no country info,1712119402.0
165,queenstown,-49.737,72.7159,10.05,278.39,99,86,no country info,1712119404.0
166,cargados carajos,72.7159,108.4624,2.63,249.35,84,95,no country info,1712119406.0
167,pierre,74.1438,-17.1731,2.67,257.12,99,95,no country info,1712119409.0
168,cururupu,-17.1731,-10.9804,6.31,297.76,4,73,no country info,1712119410.0
169,morondava,-10.9804,-179.3364,4.19,303.11,53,73,no country info,1712119412.0
170,ushibukamachi,72.4961,-174.7615,2.03,247.46,21,94,no country info,1712119415.0
171,al muwayh,28.4145,-36.8106,5.81,293.11,100,74,no country info,1712119418.0
172,mbaiki,-36.8106,-15.0388,9.08,289.21,100,74,no country info,1712119420.0
173,ust-tsilma,-15.0388,131.2731,6.61,305.65,91,48,AU,1712119421.0
174,westport,-49.3623,-163.5191,2.0,285.31,95,78,no country info,1712119425.0
175,fiche,-49.9824,-33.6614,4.09,278.7,4,83,no country info,1712119428.0
176,corner brook,-33.6614,72.6592,6.69,291.05,67,65,no country info,1712119429.0
177,geraldton,72.6592,-7.2581,9.9,270.59,100,66,no country info,1712119431.0
178,napa,-7.2581,30.4333,2.37,296.47,91,78,TZ,1712119432.0
179,salalah,30.4333,168.8805,2.76,291.9,100,89,no country info,1712119434.0
180,villa ocampo,-30.3023,30.1126,0.46,288.63,100,98,ZA,1712119437.0
181,kodinar,30.1126,-59.8998,9.63,293.36,90,84,no country info,1712119438.0
182,blythe,-59.8998,34.4753,11.0,273.1,76,70,no country info,1712119440.0
183,vilyuchinsk,34.4753,58.353,4.07,284.16,3,40,IR,1712119442.0
184,erenhot,58.353,130.2975,4.66,263.98,100,84,no country info,1712119443.0
185,samalut,49.2023,4.7712,7.92,282.84,100,92,FR,1712119446.0
186,arauca,4.7712,-42.4051,9.34,300.45,92,81,no country info,1712119448.0
187,salekhard,-42.4051,177.2112,12.24,289.93,3,87,no country info,1712119449.0
188,muzayri',-68.0807,11.2724,7.8,270.69,100,80,no country info,1712119452.0
189,magdagachi,11.2724,21.5184,2.2,298.36,66,13,TD,1712119454.0
190,hotan,21.5184,-83.4415,7.29,299.94,18,85,CU,1712119455.0
191,sale,-83.4415,72.1343,3.41,214.59,100,100,no country info,1712119457.0
192,lompoc,72.1343,-32.4103,7.74,249.37,47,90,no country info,1712119458.0
193,whitehorse,-32.4103,-79.4032,4.52,291.57,97,62,no country info,1712119460.0
194,sulak,-79.4032,-79.1654,2.61,242.87,57,73,no country info,1712119462.0
195,chernyshevskiy,-79.1654,-49.7014,1.6,238.49,26,100,no country info,1712119463.0
196,pacific grove,-49.7014,153.1923,12.34,281.11,99,65,no country info,1712119465.0
197,arraial do cabo,61.3817,51.7676,4.44,271.4,100,94,RU,1712119468.0
198,cidreira,51.7676,87.9672,1.47,269.59,100,85,RU,1712119469.0
199,kralendijk,87.9672,-34.1874,5.82,249.03,71,98,no country info,1712119471.0
200,port mathurin,-34.1874,53.3577,5.75,292.15,92,77,no country info,1712119472.0
201,kudahuvadhoo,53.3577,171.9975,19.41,274.81,100,77,no country info,1712119474.0
202,keren,72.787,-19.1369,0.81,256.99,99,92,no country info,1712119477.0
203,malanje,-19.1369,-50.8621,1.23,295.83,100,85,BR,1712119478.0
204,tralee,-50.8621,23.0731,14.21,278.55,100,97,no country info,1712119480.0
205,wenchang,23.0731,-51.0815,1.57,295.31,0,67,no country info,1712119481.0
206,afaahiti,-51.0815,136.5464,12.35,279.69,95,77,no country info,1712119483.0
207,domodossola,-49.0456,42.9976,3.64,279.66,88,90,no country info,1712119486.0
208,motueka,42.9976,-77.5409,9.26,280.86,100,86,US,1712119487.0
209,kingston,-77.5409,-24.7189,3.16,250.1,100,98,no country info,1712119489.0
210,ban dung,-24.7189,64.6032,11.51,297.07,100,79,no country info,1712119490.0
211,constantia,64.6032,78.9185,11.84,273.55,100,93,RU,1712119492.0
212,palmas,78.9185,66.5395,5.37,250.26,95,94,no country info,1712119493.0
213,iskateley,66.5395,-115.6794,1.99,249.68,29,100,CA,1712119495.0
214,praia,75.5986,-120.0226,1.95,244.46,33,100,CA,1712119498.0
215,rabo de peixe,73.1633,-147.6216,5.2,249.64,72,97,no country info,1712119501.0
216,thunder bay,-11.8984,27.5703,1.13,290.9,100,98,CD,1712119504.0
217,la passe,27.5703,68.7573,2.7,306.22,100,9,PK,1712119505.0
218,satupa'itea,68.7573,28.8224,0.4,256.05,26,86,FI,1712119507.0
219,winterswijk,28.8224,39.9495,3.65,291.25,23,28,SA,1712119508.0
220,west island,39.9495,-60.8288,7.4,281.73,100,61,no country info,1712119510.0
221,copala,-60.8288,54.9662,13.65,272.73,100,90,no country info,1712119511.0
222,christchurch,54.9662,170.7573,20.17,273.79,100,86,no country info,1712119513.0
223,chonchi,-52.8927,-154.4049,7.71,280.84,5,71,no country info,1712119516.0
224,smithers,-7.9898,-170.6963,1.32,302.66,3,69,no country info,1712119519.0
225,rawlins,38.0787,2.9749,5.03,289.29,11,75,ES,1712119522.0
226,puerto aysen,2.9749,3.8437,5.43,301.99,59,77,no country info,1712119523.0
227,san jose de jachal,3.8437,-94.0996,3.19,301.15,15,75,no country info,1712119525.0
228,petropavlovsk-kamchatsky,-9.9871,134.4852,6.47,302.61,100,73,no country info,1712119528.0
229,minas de marcona,-9.9191,119.6113,3.04,302.43,99,76,ID,1712119531.0
230,kelibia,21.0771,-41.4325,4.42,297.11,100,79,no country info,1712119534.0
